,0.5,1.0
21.285140562248994,-61.97791047021348,-61.48642035376858
21.485943775100402,-61.88551305829014,-61.3968168270274
21.686746987951807,-61.793671078006206,-61.307688476634645
21.88755020080321,-61.70234997593534,-61.21905710363889
22.08835341365462,-61.61156306665906,-61.130783378359936
22.289156626506024,-61.52122425808978,-61.04298749105035
22.48995983935743,-61.43139221202165,-60.95567965225652
22.690763052208837,-61.342081011593436,-60.868754321486996
22.89156626506024,-61.2532708014826,-60.782288060838546
23.092369477911646,-61.16493747615865,-60.6963001704231
23.29317269076305,-61.07704754534098,-60.61071147930207
23.49397590361446,-60.9896461571371,-60.52557754409783
23.694779116465863,-60.902717959073854,-60.440908661605995
23.895582329317268,-60.81626706834278,-60.35663689445931
24.096385542168676,-60.73028062409546,-60.27281410973885
24.29718875502008,-60.64471505886548,-60.18944531580121
